FR0013326246;20190930;3 ;null ;null ;4
FR0010241638;20190930;4 ;2.78 ;null ;3.93
FR0000038259;20190930;4 ;2.25 ;null ;3.25
FR0000124570;20190930;3 ;2.56 ;null ;3.42
FR0000121501;20190930;4 ;2.45 ;null ;3.73
FR0013258662;20190930;5 ;1.25 ;null ;3.25
FR0013280286;20190930;3 ;3.36 ;null ;3.41
FR0000130452;20190930;3 ;1.39 ;null ;2.63
FR0000050809;20190930;3 ;1.44 ;null ;2.75
FR0010451203;20190930;1 ;2.21 ;null ;2.66
FR0010908533;20190930;3 ;2.83 ;null ;3.43
FR0000051732;20190930;1 ;1.81 ;null ;2.27
FR0000039299;20190930;1 ;2 ;null ;2.22
FR0010221234;20190930;3 ;1.73 ;null ;3.21
FR0010411983;20190930;4 ;2.53 ;null ;3.8
FR0013176526;20190930;3 ;3.4 ;null ;3.71
FR0013153541;20190930;1 ;1.09 ;null ;1.95
FR0004188670;20190930;1 ;2.75 ;null ;2.92
FR0010040865;20190930;4 ;2.17 ;null ;3.64
